input|output
 This means that Ble Magazine is dead, too!  Now how am I supposed to prove my caption's funny.|Ding dong! I found Ble 217! We can see what the winning caption was.
"  ""I'm going to write you a prescription for one giant club."" "|It's about time us young guns took the reins.
 Other|Hello, boys. Now let's roll these presses one last time.
 Our very own Ble Magazine.|"And it's a pretty good issue, too. We got that nice cover you did, my short story, ""Fionna and Cake"
 Big Tina wrote those!|"...""Fionna and Cake"
 Maybe it doesn't matter if my caption is funny or not. I think I just wanted to be part of Ble. It's something I've been a fan of for so long. And maybe we can bring it back. There's no reason it can't have a new dawn. A Blennaissance!|Okay, boys, close her down!
 It wasn't me!| It's been real cool being in this rogue's gallery with you. Me and Gunter were gonna go, uh...  Oh... my...  GOLB!
 Have you thought about using sliced almonds for the sundaes? | ...I don't know who that is!
 Ice King! Ice King!|What's up?
 You are the only one who can stop this! Betty's up there, trying to harness the power of GOLB! We have to snap her out of that trance and banish GOLB, or we're all doomed! If anyone can do it, it's you.|Sounds great! Im'a save the world! 
 Ugh! |Evil penguins!
 Go ahead. Talk to her, IK.|Who?  Oh, it's weird lady! Hey, lady. ...I'm diggin' your primitive dance style!
 No! You're supposed to stop her, not encourage her! You gotta dig deep inside and find those magical words to shake her outta that trance! Get personal and emotional!|Personal? Emotional? Oh! Just like a fan-fic!
 No!...|"""I feel like nothing was real until I met you. I feel like we connect. And I really get you. If I said 'You're a beautiful girl,  would it upset you? The way you look tonight, silhouetted, I'll never forget it."""
 Simon...| ♪ Oh, oh,  Fionna!... Your fist has touched my heart... ♪
 What... You're trying to stop me!?  When I'm this close to harnessing the most powerful force in the universe and finally saving you!?|Yeah, I guess. ...Right, Finn?
 Finally! My time - |Ice King!
 Uh-oh. |Owie!
 Simon, your crown!|What...  ...happened, lady? 
 I'll get us outta here. | Betty...?
 Ugh. It's totally obvious you've never griefed anybody.|"That's only technically true. And not to be ""that guy"", but it's actually  ""aggrieved""."
 You better grief someone quick if you wanna stay in the Gravel Gang! Only cool mean girls allowed!|I'm ice-cool LSP.
 No! Call me by my gang name!|Okay. Gravel Gal.
  But come back after you've showered.|Yoink. 
 Thief!|You got griefed!  I'm not looking at you! I'm not looking!
