input|output
 There's a reason. With this sample of James, I can clone a new one. He's candy, but you're not. I can't clone another you.|Whoa.
 |Is this right or wrong? I can't tell.
 It's all about the leads.|See? I told you, it's candy stucco. Stucco feels great.
 Um, we were at home last night.|Yeah, we were doing that... thing.
 That was a great thing we were doing at home with no other witnesses.|But we're each other's witnesses.
 But I saw you.| Look, man, you didn't see nothing.
 Finn and Jake?|Well, guys. It looks like you caught us.
 Well, guys. It looks like you caught us.|Okay, Princess, you can come out now.
 As Ooo's greatest champion, I'm relying on you to keep Lumpy Space Princess from crashing this wedding. I went ahead and deputized you.  So, you know, no holds barred, got it?| Yeah. Oh, what about Jake?
 Shh...|Sounds really sweet.
 Sounds really sweet.|Lumpy Space Princess? Is that you?
 Let me go to this party...|It's not your party, LSP. 
 Princess Bubblegum, you have gone too far. We stand together against your tyranny.|Hey, everybody.
  Do it again! |Thanks, bro!
 There for you, bro... but Finn, I'm gonna tell you something gently.| Okay. What is it, bro?
 Get a new sword.|What you do mean?
 Bro, these guys could've hurt you.|It still works.  Hyut!
 Bro...|I love this sword. 
 Hey! There's Choose Goose!  Goose! Come on!  Finn? What's wrong?|Mm, maybe we should try someone else.
 What? But we have history with him—that's important in business.|Yeah, but we're lookin' for a sword. Remember that armor he sold us? 
 I asked around. This is the place to get sa-words. |Oh. Doesn't look like it's open.
 How can I help you?|Need a sword.
 Hold on.  Here you go|I don't know. I've never used a grass sword before. Maybe we should keep lookin'.
 Swords like this don't come around every day.|Don't come around every day, uh?  I love it.
 Hey, the pillow vendor!|Huh? Hyut! 
 Huh? Pizza?!|Yeah! Came outta nowhere! It was gonna bonk you on the head.
 You're getting good with that sword. You were never able to do that with your other swords.|No more pizza bonks. Hyut!  Hey, we're near Tree Trunks' house. Let's stop by and get some pie.
 Pie!| Hyut! Hyut!
  Hyut! Hyut!|Hyaaaah!♪
 Howdy, boys! Nice pillow and nice sword. My hands are full, Finn. Uh, you mind slicin' an apple for me? |Hyut! 
 Uh, how's that curse doin'? Makin' you want to moidle me? |No, man. This sword doesn't seem to have any curse on it, as far as I can tell.  Hyah!
 Well, okay.  Dang tag.|I got it!
 |Whoa!
 Hey, quit showin' off, bro!|Sorry, man. I don't know what happened. I-I... I'll go put this away.
 Good idea. |  Huh? 
   Huh? |What the—? 
 What the—? | Jeez.
  Jeez.|Stupid...  thing!  Worst three bucks I've ever spent.
 Stupid...  thing!  Worst three bucks I've ever spent.|  Whew.
   Whew.|
 What's goin' on?|The sword is after my flesh!
 Oh, snap!|Don't let it get me, Jake!
 Don't worry. I'll handle this.  There.| Let's go return that junk.
 Huh. Hey, he's not here.|Hmm. Maybe someone around here knows where he is.
 Hmm. Maybe someone around here knows where he is.|Somebody in trouble!
 It's the Hooligans Who Love Candles!|Let's get 'em!  Hey!
 Yo! You got a prob, Bob?|Stealing candles from old ladies is immoral!  
 Anarchy! | School!  Hyah!
  You're dead, teddy boy.|No.
 Dude... |Yeah... not comin' off.
 Hmm.|I made a mistake, CG. This merch is totally defective.  Please.
 Awesome. Wizard of Grassy Moun-tayn... Mountain. Yeah, thanks, Choogs.|Yeah, thanks!
 He's a huge ding-wad—just the worst.|Chop, chop, chop, chop, chop!
 |Hmm. For a cursed dingus, you cut so good.
 Hmm. For a cursed dingus, you cut so good.|Come forth, wizard, and uncurse my mitt! Grassy Mountain Wizard!
 Comin' up here tryin' to enter my house! Are you for real?!  Mow 'em down, my cursed grassy objects! |Hyah! 
 Uh... go forth! Go... uh, forth.  That was all my grassy objects.| Lift the curse.
  Never! You have no power over me, young fool! The grass sword will be part of you for all eternity! | Hmm. You know what?  I think I'm cool with that.
 What?|Whoa.  
 Now that you've accepted it, you can control it!| Yeah.  This is really cool!  I just had to get used to it. 
  |Good morning, Princess!
  Finn! You scared me!|I am sorry, Princess!
 What are you doing here, Finn?|Since I got out of my last relationship, I've been slackin' on the job. So I'm rededicating my life to protecting, serving, and meeting your every need. Jake said I was acting bananas about the whole thing and wanted no part of this.
 It's 5|That's right, Princess. I'm gettin' back on the job hardcore, giving 100% of my being all for you.
 Thank you, that's very nice. |No need to thank me, PB. It's my job.
 No need to thank me, PB. It's my job.|Heh.
 Thank you. | How am I doin' my job, Princess? Am I crushin' it?
 No, no, like, out of the way.|Oh! 
 Okay, what else do I need? Aw, dangit, I forgot we're out of milk. Now I have to go get it from—| Buh-buh-buh! I got it!  Hyah!
  Buh-buh-buh! I got it!  Hyah!|Milk... You wanted milk...
 Finn, I thought you went home.|Yes, I do regret the slow return, but I assure you, this is the highest quality milk available. It's mink's milk. I milked a mink. 100% dedication, no limits for what I do for you. I'd throw Peppermint Butler off this balcony if you ask.  Sorry, Peppermint Butler, just joking, but kinda sorta not.
  You're really going over the top here. Take it easy. Princess's orders.|Okay, I'll just rest here.
 No, no, resting on the job is not resting. Go somewhere where you can relax!|Yes, Princess. 
 Yes, Princess. | Princess, I give my life to you girl, you are the best dang princess in the whole wide world.  Wow, PB, sure is a nice day to be outside!  Hey, watch what you say about PB, bro. Talk garbage about PB one more time, bro. See what happens!  Hold on one sec, PB. I gotta deal with a real tough guy over here.  You got one last chance to apologize before I dishonor you like you did my lady! Alright, bro, have it your way! Yah!  Where's your pants bro? Where's your honor now? Everyone's laughing at your undies! It's real uncomfortable! Wants some!  Wowzers!  No!  Did you drop this car on my lady, bro?!
 Leave this dump now! |You dropped a car on my lady, bro. Now I gotta restore her honor. I hope you're wearing underwear.  Whoa, dude's got awesome powers.  Hey, dude, you got awesome powers!  You gonna kill me, bro?
 No. Instead, I will pluck out your eyes with the point of my sword, and whenever you try to see stuff, you will think only of me, Rattleballs! |Do it! I ain't a baby!  Do it, bro! 
 You have a warrior's spirit!  Something I haven't seen in a long time. But your swordsmanship is . You should learn to master your weapon before you draw it. |What?! You're just gonna tell me I'm terrible and walk away? Teach me sword stuff, man! 
 I know you're back there.|I brought you a muffin.
 I don't eat muffins; I'm a robot. |Look, I know you don't know me and we got off on the wrong foot, but please, dude, teach me how to use the sword. Please!  You okay?
 No. When I was a young robot, I went horseback riding. No one taught me how to post. The horse took a crazy jump, and I came down on the saddle hard. One of my gumballs bounced up inside me. It's been lodged in a weird spot for years.|Oh, here. 
 More to the left! Getting closer. Closer!  You got it!  Thank you!|Yeah, perhaps you feel a sense of indebted obligation to me?
 Lesson one|Yut!  Ha, got one!
 You have done well today! You have felt the sting of the yolk, endured the sizzle of the mini-BBQ. Perhaps you are ready to learn my secret technique.|Secret technique!
 Watch! |What the—?! 
 The shadowless thrust. Your blade must be swift enough to slice the air between you and the target, removing all wind resistance.  Now you try.  Again. |So, am I a master swordsman now? 
 You will be if you train this hard every day... for ten years... and get a robot body.|Oh. So, uh, why you livin' in this dump? You should be out in the world, saving fancy ladies and junk.
 I alone escaped, while my compatriots became minimalist furniture. |Oh, sorry! 
 Rattleballs is still what?!|He asked me not to tell you, but I cannot break my oath to serve you, my lady, 100%.
 Hello, Princess.|Sorry Ree-B-Z. My oath to the princess comes first, but once you two talk it out, I know she'll see you mean no harm.
 So be it! |Wait! 
 Rattleballs! |RB, don't!
 Dang right I do! You killed all my banana guards!|No, Princess, look! They're only bruised!
 Mmm, okay.|Waah!
 Finn!|Um...  hey. Uh, Jake isn't here. He's sleeping over at Lady Rainicorn's maybe.
 Finn, I've been slowly poisoned by my treacherous handmaiden. Now my powers are weakened, and—and the Flame Lord has freed my father and threatened to marry me. But I escaped with CB.|Oh, what?! I'll help you. I'll do anything for you.
 Listen, Finn, this doesn't mean we're getting back together. We're all business.|Mm-hmm. Of course.
  I'm feeling exhausted. Where can I freshen up?| Girls' bathroom is over there. Also, it's the boys' bathroom.
 Oh, thanks. |So, what do you think, CB? You think I still have a shot with her, right?
  No.|Does she ever talk about me? Is she seeing anybody?
 No and no.|"""No and no,"" she does talk about me, or ""no and no,"" she isn't seeing anybody?"
 Alright, guys, let's wolf.|So... your Fire Wolf can fly.
 Yep. I taught him.|Hmm.  Whoa! You've cooled down a lot.
 No funny stuff.|Things have been going great for me lately. Been hanging out with my boys. I got a cursed sword arm now, so that's new. Yeah, I've been exercising a lot and taking some piano lessons—trying to improve myself. Not dating anybody or anything, just getting a little me time, being the best Finn I can be. 
  Hyup! |Oh, no!
 Oh, no!|I hid my flameproof suit behind these rocks... just in case, whatever, you know?
  So, the guards are posted here and here, so we should probably sneak in here. |Suited! 
 Uh...|Remember my fire suit? Hey, CB, you did a great job getting us here and everything,  but I got this, all right?
 Remember my fire suit? Hey, CB, you did a great job getting us here and everything,  but I got this, all right?|I got a sword arm, so—
 Yeah, you said that.|Watch this.  Hey, guards! Come at me at the same time!
  What are you doing?!|Let's go, Princess! 
 But that wasn't the plan! No!|Ha-ha!
 Capture them!| Ahhhhhh—
 No, Finn, don't hurt them! They're entranced!| Oh, right.  Oh, no.
   Hyah! Um...  |There's CB!
 Whoo, get him, boys! We're taking these two away.|Don't worry, FP, your boy Finn won't fail you.
 |Trust me. It'll be fine.
 Never!|Yeah! It's because you secretly still have feelings for me.
 No!| Hmm.
 |Jeez. Did I just get shown up by Cinnamon Bun?
 What?|Why are you holding your bass up high like that?
 Mm-mm-mmm. (I don't know.) I get better finger action this way.|But you look like a nerd. Move it back down. It's better.
 Move the bass down.|A-move the bass a-down.
 And still looking good!|Do you remember anything from when you were the Ice King?
 Nothing specific—just dreamlike impressions.|Do you still have impressions from all the times we flipped your bricks?
 Well, yes, but only in increments. I've still got work to do. Finn and Jake, will you run my generator?|Yeah, man.
 Hmm...|Yeah, but...
 O-kay... Let's try something else.  These are cupcakes.|Cup-cups!
 Um...| Yes.
  Maybe we need something more hands-on. Hey, Finn, listen, that's it for class today.|Whoop!  Whoop-whoop-whoop-whoop-whoop...
 I mean, you guys are cool and all, but I mostly came back here so I could stop thinking about y'all all the time. I'll be back when I'm tired of being free.  See you in a thousand years, I guess. Peace!|Wow. I really thought he was gonna stay.
 Me too. I even wrote a song about it.|
 Hey! Don't laugh.|Let me hear it!
 No! It's terrible.|Come on!
 No!|Come on! Do it, do it, do it, do it, do it...
 Boo! That was pre-written. It's so obvious! Take him out, Finn!|Off...
 Nope.|Off the dome, here we go. Uh! I'm-a start it now. I'm-a battle now. We gonna make a rhyme, so I can rap this time. I rap for millions...  sesquipedalians.
 Yeah, that was tight.|Whoo!  Huh? Rap Bear, what's wrong, man?
 How can I be Rap Bear if I'm not the best?|No way! You are the best! Going up against you was a dream come true. I look up to you, man. You're like... You're like my hero, Rap Bear.
 I thought Billy was your hero.|Yeah, but Billy's dead, so... Billy.
 Ha-ha! Check out these dummies.| Ha-ha! Yeah! You're awesome Billy! Ha-ha!
 You're gonna pay for this, Billy!|Sick.
 Finn! Finn! Finn.|Huh? Who dat?
 I'm Canyon, Billy's ex-girlfriend.|Say what?! That's so weird. I was just—  Party Pat was just like—
 What's going on here? Who's that?|This is Billy's ex-girlfriend.
 Oh, man, I'm sorry. Well, I hope you guys get back together. Whoo-oop! |Jake's still in denial about Billy.
 Billy and I broke up four years ago, but I held on to this. | Billy's loincloth!
  Oh, that's some smelly. |Thank you, Canyon. I guess I've been in denial, too. Have you been back to Billy's crack?
 No, I can't.|It's time to go see Billy's crack.
 Shouldn't Jake be here?|He needs more time. This would mess him up too much. 
 He needs more time. This would mess him up too much. | Fairies! Oh, they've infested the place! Okay, you guys, out! This is Billy's crack.
 We have dibs on the crack, so beat it!|I'll dib up your brains if you don't respect the mems of Billy.
 All right.|Laters.
 Laters.|Um, so, Canyon, why did you and Billy break up?
 Huh? Oh. Well, I loved Billy, and I believed in him, but then Billy stopped believing, and that jammed up our whole deal—being a top-tier, red-belt power couple. After a while, all he did was watch movies and play video games. Pretty lame, right? So I bailed.|Even heroes have slumps, bro.
 What the—? |What is it?
 It looks like Billy's bucket list.|Whoa, let me see!
 Whoa, let me see!|"Hmm. Looks like he got to most of these. He sure lived a full life. Okay, here's one. Wait. ""Tell Finn that thing."" What the butt is that?"
  I don't know.|Okay, that's gonna bother me forever. Well—well, here's one more. We should do it for Billy.
 Are you sure you're okay?|
 |Holy shram! Whoo!
 That was awesome, Finn. You know, you remind me of Billy when he was young.|Whoa. So... can I see you sometime?
 I have a feeling our paths will cross again. Take care, Finn.|" ""Take Canyon on one last ride.""  Whoops.  What? Another item? You sneaky Billy. ""Lie on my back in the ocean. Just float."" Cool.  Why the ocean, Billy?!"
"  ""Take Canyon on one last ride.""  Whoops.  What? Another item? You sneaky Billy. ""Lie on my back in the ocean. Just float."" Cool.  Why the ocean, Billy?!"|Okay, Finn, don't think about your fear. Just jump in there like it's no biggie. Do it for Billy. For Billy!
 Okay, Finn, don't think about your fear. Just jump in there like it's no biggie. Do it for Billy. For Billy!|I'm afraid. I'm afraid! Oh, dang, here he comes! Here comes the Fear Feaster!
 Huh? Uh, hey, man, don't do anything stupid. Hey! You're too chicken to face your fears with open eyes? This stank is cheating!|This stank is for Billy. 
 No! |Huh?  Aaaaaaaaaaaaaaaah!
 Huh?  Aaaaaaaaaaaaaaaah!|For Billy!
 Wake up. Wake up!|
 |Huh? Whoa!
 What?! |Was that you or me? Huh? Hey. Hey! I—I'm doing it!  I'm not afraid of the ocean anymore! I'm doing it, Billy.
 You finished my list. Now I can rest like a great hero. Thank you, Finn.|You're welcome. Canyon helped, too.
 Tell Canyon I watch her sleep. Man, love is weird, Finn.|I know. Is that the thing you wanted to tell me?
 No. Goodbye.|Wait. Billy!
 What?|What's the thing you wanted to tell me?
 Oh, uh, you must go to the Citadel. That's where your father is.|Joshua's not alive. Me and Jake buried him behind the—
 Not Joshua! Your other dad. Dad the Human.|What?
 Laters.|Jake, where were you?
 Come on, man! I don't even take Lady up there.|Dude, I found out my human dad is still alive.
 Whoa, what?| He's at some place called the Citadel.
 Whoa.  Are you gonna go see him?|I don't know. Maybe I shouldn't. Maybe there's a good reason why he didn't raise me. Like, he was probably captured by thieves and kept a slave for years.
 Yeah, or maybe he was ambushed in the wild and hid you so you wouldn't be captured, too.|Yeah, maybe it's better not to rock the boat.
 But... it might also be good to find out if you have any genetic risk factors or allergies or whatever. Plus, you get to see what you'll look as an old guy. Could be cool.|Heh. I guess it would be okay to meet him, just to know what I'll look like.
 Whoa! You guys do not wanna go there. Seriously.  Check this out.  The Citadel is a nasty-sized prison. Only the worst of the worst end up there. Real stink faces. These guys are the pits—the armpits.|Hey, my dad must be like the warden there.
 Check it out! I got gifts for you guys.|Ha, cool it's a penlight.  Jake, don't look directly me in the—Aaah!
 Oh! One last thing, dudes.  Whatever you do, don't wake him up.  Okay, you can go now.| Pew! Pew!
  Pew! Pew!|You ever wonder what happened to make a place all wrecked up like this?
  Hey! Get out here, old man!| Dude, shh. Don't wake him up.
  Hey, get out here, old man.|Pizow! 
 Pizow! |Old man.
  Uh oh!  Finn, a little help?|Bizzow
 Gizzow|Let's hoof it!
 Let's hoof it!|Jake, don't jostle the package.
 Jake, don't jostle the package.|Yahct!  All right! 
 Yahct!  All right! |There's too many of them!
  Dude's got serious night terrors. | What now, Prismo?
 Yeah,  I just wanted one last look at myself.|Wait, this old man is you?
 Killing a wish master is a cosmic crime. Once I'm dead, the guardian will show up and take you to The Citadel.|I don't think seeing my dad is worth sacrificing your life
 Prismo, don't worry! I'll put the old man to sleep and get you back!|Dude! That means The Lich jacked our entry into The Citadel.
 Hello!|Wait, wait, wait, wait!
 Wait, wait, wait, wait!|Look, Jake.  More guardians. The Citadel, I presume.
 Likely so.|Hey. Do you think maybe one of them could be my dad?
 Eh, I don't think so. We'll probably know when we see him.|Right, right. That makes sense.
 Right, right. That makes sense.|Hey! The Lich again! This must be where the prison cells be at. See? Good riddance, too. I hope you rot forever, you awful jerk-clapper. Some people just make the world a worse place to be in just by being around, Jake.  That's right. Bad apples. Lock 'em all up, I say. At the bottom of the ocean, where it's too dark to see.
 Look at that weird ol' kid over there. He looks just like you.  Man, look at his clo—|Daddyyy!  Aah!  All locked up in there. D-Do you think maybe he's a criminal too?
  Well, it had crossed my mind.| Jeez, man! Now I wish I hadn't said all that stuff before. Now my heart feels yellow and green.  Maybe we shouldn't even have come here—waah!?  Jake, what did you do?
 It wasn't me! It came from up there!| He's melting the crystal all up!  Breaking cats out left and right! Turning cats gray! Did he trick us again!? I think he did!
 Thanks, kid. Now, where'd you guys park your Star Skipper?  This place is coming down quick, and I mean quick, like zip zip. Like wow, like boom boom wow.|Oh. We... we don't have a Star Skipper.
 Son? Oh, hey, good for you, kid. In other news, I still gotta get out of here and the ground is melting. Huh?  It's all pooling in the center.|Hey, um... I... I wanted to ask you something. I... well...  Hey, wait up!   Dad, wait!  Dad, I need to ask you —- aah! 
  Finn, I know we normally come out of these things okay, but I got a bad feeling about this. Just promise me, if both my eyes get fried off, you'll fry yours off too.|What? No.  Listen, you don't gotta worry about a thing, Jake ol' pal.  We just need to defeat those five space villains, hijack the shard they're hijacking and sail it home to safety.  Easy peasy.
 Yeah, Jake, smarten up. As soon as the last guardian dies, the fighting stops. See? He's bitin' the dust right now.|Aahh! Uh oh! 
 It's-- It's okay. It's okay.  You just gotta fetch me a gob of that guardian blood, son. It's got that good nooch that keeps us young in the crystal.|Nooch?
 Come on now, partner.  No dawdling, yer old man needs ya. |
 Hey, good job, son! Now, rub some of that sap on my leg there. Make sure to get it into the chicken wing hole.| Dad...
 Martin!|Okay, M-Martin. We need to talk.
 Yeah, okay, kid, but hurry it up. I'm trying to act cool here, but this thing really stings!| Why'd you abandon me in the forest when I was a little baby!?
 Oh... I mean... Heh. You know me. I'm a funny guy!|
 Dude!!  S'mores important junk happening! Look!|It's time to peel bananas on this fool, as a family!  How about it, Martin?  Dad?
  I gotta run to the store!| Hrm.  Wha?
 I will command a great and terrible army; and we will sail to a billion worlds. We will sail until every light has been extinguished. You are strong, child. But I am beyond strength. I am the end.  And I have come for you, Finn. | What? You don't like this stuff, huh?  Whoa!  Right in the doorbell.  Dad.  Jake, finish off the Lich. I gotta go catch my dad.
 Finn, forget that loser!|Dad, wait!
 Hey, cool guys. Looking for a new boss?  Chew faster, that guy's really moving.| Dad! Stop!
  Finn! | Martin, I won't let you escape!
 It'll be okay, dude.| I mean, at least you finished off the Lich, right?
 |Huh?  Oh, my garf! What are they?!
  It can't end like this.| James!
  James!|I wanted to do it. Why didn't you let me?
 |Wow. James sacrificed his life for you again, PB.
 Yeah, that's like the twenty-fifth time, right?|Yeah, obviously we'll have to re-clone him.
 James is too reckless. I can't reward this kind of foolish behavior forever. It's time James takes his eternal nap.|But it's James!
 I'm putting my foot down. There will be no more Jameses.|No...
  And remember the time James saved PB from that contaminated cupcake?|Yeah, he ate that whole cupcake. What a guy...
 Yeah, he ate that whole cupcake. What a guy...| Is this... James heaven?
  Jameses!  Alright, who's in charge here?|James...
 Well... I was lonely! I knew Princess Bubs would make a new James if, you know, a James died a hero. So...|You faked your own death?
 Yeah! I just wanted a friend.  Someone who gets me!|James...
 Plus, each time I get kerplonked, I get another shiny medal, and why have two medals if you can have all the medals? Medals, medals, medals...|Dude, I've been to your funeral like twenty-five times.
  PB ain't gonna like this.|Hmm hmm!
 Nah, man. PB's no dummy. She'll find out. It's only a matter of time.|We like you James but, you're on your own. We're gonna sit this one out.
 We like you James but, you're on your own. We're gonna sit this one out.|This should be good.
  What a show!|Very enjoyable!
 Okay! Weeoo weeoo weeoo weeoo...  Ah! Can't fight! |Yoink!
 Hey!|Heeyah!Aww! Don't touch the monsters! They'll melt you! Oh my jerbs! Jake! Let's help these candy orphans!  Hey kids! 
 I hereby award thee...Jameses...These medals for bravery.|Dat's my boi, Jameses!
  MY ARM!!!|   Oh!  Parm, parm, parm.  Asiago's like parm.  Whoopsies.   Okay, now easy does it.
    Oh!  Parm, parm, parm.  Asiago's like parm.  Whoopsies.   Okay, now easy does it.|Ohh!
 Ohh!| Thanks a lot, Dad!
 Finn?  What's going on?  Is the spaghetti all—whoa!  Finn, what happened?|I... messed up the spaghetti,  and then I got mad, and PB's candy arm exploded.
  Man, I knew that arm was bogus.|Yeah, it wasn't the greatest. Sorry about the spaghetti, though.
 Man, don't worry about that.  You just went through some outrageous beeswax from losing your favorite arm and et cetera. You can't just expect to bounce right back to normal.|I can't?
 Nah, man. Listen.  All these princesses donating all these gross fake arms—they mean well,  but they're throwing you off your game! You got to go at your own pace. If you listen  deep in your melon heart...  that's where the real instructions are.| My melon wants to punch my dad in the face and steal his arm.
  Well, those things are bad,  so they can't be the real instructions, but you keep listening. Me—I'm going to go to the spaghetti store and buy a new mop head. I'll be back soon. Just remember—listen to your melon heart. | Melon heart... melon heart... man, I don't know. It'd be so easy if I could just go find him—my dad that is. That portal he went through after ripping off my favorite arm went right to outer space. And outer space is up there somewhere... I'm told. Maybe Banana Man could help me build a rocket or something...  or some stairs or... something, something, something... or, or, or.   Wow, it's like a—like a—like a magic Finn arm.  She's powerful. You must've exploded the candy arm before and made the rock pile just know. It's almost like I'm trying to tell myself something, like a message from my melon heart.
  That means lay off. Finn's feeling this one out solo style. Give the kid a chance.| Daddy's got an arm and baby's gonna harm his arm by tearing it off his dad.  Baby's building a tower into space. Space is where he's gonna find his dad.  Daddy's got an arm and  baby's gonna harm his arm by tearing it off his dad.  Baby's building a tower into space. Space is where he's gonna find his dad. Daddy's got an arm, and baby's gonna harm his arm by tearing it off his dad.
  Ahh!| Oh, hi.
   Get out of my house or I'm going to face blaaaast you.| Hi.
  Hi.| Waah.
   Yep, yeah. I know you. You're one of those swimmers right? A reeeal swim nut.| What? No, I'm Finn. 
  Well you can't swim in me. Not anymore, I'm not water. You can't get me up your nooooose. |  Okay, I'm going to keep going.
  I'm going to keep going, into here. |  Oh, baby's a tower into space. Space where he's gonna find his dad.
   Goodnight buddy, I'm proud of you.|  Baby's building a tower into space, to tear off his dad's arm.  From like where that round of the arm bone meets that weird flat bone on the top of the back. Gonna pull that until it comes off. Baby's building a tower of revenge...
  Hey kid.  It's me again. Carroll, my name's Carroll.| Finn.
  Finn, look I'm sorry about blasting you yesterday. Hey man, are you really gonna do those things?|  Uh, yeah, for revenge. I think it'll feel good.
  I get it, I get it. But let me tell you something. I used to be water. Like a pond or something real wet. I used to hate people swimming in me,  kicking and stuff. So what did I do? I evaporated, I got myself out of there.| You should have pulled off their legs.
  No, no, no, no, no, no, no. Listen, you have to stop obsessing about revenge.  Umph.  Be like me and run away, you have to run away and never stop hating your old life.  You gotta really dwell on it. Ah!| What was that?
  I just thought about my anxieties and it's like my mind hand touched a hot memory stove.| Hmm.
  Ah!| Interesting. Oh hey, what are your thoughts on melon hearts?
   Finn! Hey what's it like up there?  I figured I could turn into spaces, or something.|  Daaaad!?  Ah. Oh man. My nog master.  Hello?  Hell-oh!  Hey, hey dad?
  Huh? Oh good, you're awake.|  Gotcha! Ha, ha, hee, hee, hee, hee.  Give, give it. Give me the... give me give it. Give me the...
  Oh, my favorite arm.|  Butts. Butts.
  Didn't help much did it.| No. Wait, what?
  Bong Bong.  Sorry buddy.| PB? Wait, where am I?
  We're in the Candy Kingdom fallout shelter.  I brought you here after you passed out on the tower. You were hallucinating like crazy so it was really easy to trick you. I figured you'd thank me later after learning your lesson.| Right, right.
  And look, the arm is gone too. See?  So what do you think?| Hmm.  Yeah, okay. Thanks Princess.
  Oh, hey buddy you're back. How are you feeling?| Um, neutral I guess. I don't want to punch my dad anymore.
  Ha, Ha! That's great!  You can always trust the old melon heart to get you through.  So I guess we won't be needing this thing anymore. You wanna do the honors?|  Yes I do.
  Hmm....|What is it?
 It's looking droopier.|But I've been pounding pickle juice like I was preggos. For the electrolytes.
 Well, switch back to water. But what I really want to know, is how are you feeling Finn?|What? Oh, I don't know. , I guess I don't feel anything. Bleh. 
 Okay, that's what I thought. You gotta bounce back, man. You got burned by your bad dad, you lost your arm, and all the ladies say you don't talk to Flame Princess no more.|Who's sayin' that?
 Finn, flowers thrive on good vibes. As your doctor, I'm ordering you to go out and have fun, okay?|You want to go with me to Crab Princess' party tonight?
 Uh, what? Like... as a date?|Sure. That would be fun, right?
 Finn, I don't date my patients.|It's cool. Guess I'll go make out with Crab Princess.
" Okay. Tell her I said ""hi."""|♪I'm lost in the darkness, what will this bring? Autumn descends on me,Autumn♪
 ♪What do I see? Oh, so beautiful. My heart it beats. Oh, so magical.♪|♪I'm lost in the darkness, what will this bring?♪
 ♪I'm lost in the darkness, what will this bring?♪|
  Hey, Finn, could you pour this juice into my mouth?|What? Pfft!  Aah!
 I can't reach my juice.| Yo, come on bee! Geez!
 Oh, I'm so sorry, I didn't realize—|Didn't realize what? That there's a person attached to this flower?
 Uh, yes. I'm sorry. But it's only because your flower's the greatest miracle of all time. It's just doing something to me, I—|Oh, that's cool. Thanks, beezy.
 So uh, what are you doing here? Heh.|Ah, well, I came here to make out with Crab Princess, but I sort of lost steam on the walk over.  I don't know what crabs are into. I'm just gonna stop trying and let my flower wilt away. Who cares?
 I'll try for you, man.|Whoa! Really?
 Thanks for walking me home, Finn. I'd invite you over, but you can't breathe underwater, right?|Not usually, but can I have a kiss, please?
 Uh, okay...|Okay. Good night, Crab Princess.
 Hey, you did it!|Oh, you're still here.
 Yeah,  just checking in... on my buddy. So, how you feelin', buddy?|"Pretty grease. I made out with Crab Princess, so that's grease. But really I don't feel nothing. Maybe if I made out, I will feel something? Maybe I'll reach a ""good vibe"" saturation point. And then my flower will feel good, too..."
 Your flower feels good, yes.| Hey, cut it out, Breezy.
 Ha ha! I'm just messin' around. We're buddies, right?|Yeah, Breezy, I like you. You're a good wingman.
 |
 |What's up with your head?
 Whoa. You're a dead ringer for Flame Princess, with a smidge of Princess Bubblegum mixed in.  Guess you're still hung up on both of 'em, bro.| I ain't hung up on nobody! Nobody. Breezy, let's get out of here.
 Okay.|She doesn't look anything like Flame Princess, does she?
 I don't know who that is.|Exactly.  I'm just trying to have fun. You know, doctor's orders. But I still ain't feelin' nothing.  maybe I should just let this poor flower die.
 Noooo... Listen, buddy, being a free spirit is fun and all, but you got a responsibility to that flower, just like I got a responsibility. Get this—I'm actually a virgin queen bee. I was born to lead a hive, destined for a life of obligation and ritual.|Whoa. Bummer.
 Yes. Once I drink of the royal jelly, my carefree days are done.|Dang. That sounds like raw deez. Breezy, you got to stay free... Free to make out with whatevs. 
 Yeah, maybe you're right. You know, it's too bad we're such great buddies or we could make out with each other. |What?
 That's right. Everybody's havin' fun...|Whoops!
 Girl, get back to your hive! Quit hanging out with that bologna tube! It's disgusting!|Mnh-mnh.  Yo! Shut it! She's an independent lady!
 Gonna teach you to mind your b's and q's, chump!  Buzzzzz!|Uh! Run, Breezy!
 Uh! Run, Breezy!|Aah!
 You're about to get waggle-danced, you chicken!  Unh!|Ow! Ooh! 
  aha!  Don't worry, Finn!  I jacked some royal jelly from their hive! | Breezy... No!
 Hey, honeybuns!|
 Whoa! Oh, No! She got into our secret sauce, bro! It's all over!  Long live the queen!| Breezy?
 Yes, Finn. Can't you see? I've become a queen to save you because... I love your flower and—and I think... I love you!  Now you can partake of my pollen crumbles and become my drone.|Um... You know, I'm—I'm trying to keep it casual, B. I just don't feel the same way. I don't feel anything.
  But I royal jellied for you. |I'm lost in the darkness, Breezy.
 Wha? Where you going?|That's it. We made out.
 Wha—What?! I didn't wait infinity for a dip in the kiddie pool! We're taking this to the deep end!|But I'm not a good swimmer.
 Don't be scared, Finn. Lumpy's on lifeguard duty.| How's it going, guy? Is any of this helping?
  How's it going, guy? Is any of this helping?|I'm gonna forget you did that. Right in the vault.
 I'm gonna forget you did that. Right in the vault.|Whoa, whoa, whoooooa!
 Whoa, whoa, whoooooa!| Yeah! Whoo-hoo!
  What the lump? Oh, hey! Finn, you got your arm back!| Whoo-hoo! Yeah! Whoo-hoo! Breezy...
 Whoa-a-a!|Hmm. Why would I need to learn about caterpillar families? I don't get it.
 Well, they look like they're having fun.| Real leaves aren't made out of candy. They always have a gross, bitter taste.
